table,form,weighting,pre_vol_control,covariance,formula,term,coefficient,se,t,p,ci_low,ci_high,n,r_squared
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2025Q4],0.072103156540693,0.03877193719390628,1.8596738197550093,0.0784870417141475,-0.009047440642161023,0.15325375372354705,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,Uncertainty_proportional_z,0.04423987435701155,0.018527656138613482,2.3877750119083463,0.027494756621123433,0.00546104438708777,0.08301870432693534,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,log_size,-0.04126997505580644,0.008863895073851527,-4.655963852454976,0.0001722254803108498,-0.059822320661129004,-0.022717629450483882,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,log_turnover,0.07378313827306783,0.02207534956348179,3.3423315930237316,0.0034225768411500317,0.027578900627228488,0.11998737591890718,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,log_words,-0.022622654118731527,0.029571832963938078,-0.7650068274874656,0.453665499826955,-0.08451721184519848,0.03927190360773543,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,pre_return,-0.05013971258133761,0.05271175006404911,-0.9512056139364324,0.3534443968161868,-0.16046667341535112,0.060187248252675886,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,log_pre_vol,0.6178111095234282,0.043153903537759164,14.316459436464436,1.2465933533645935e-11,0.5274889513772825,0.708133267669574,1002,0.7594840414587388
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),Intercept,0.04124416630318956,0.09122626326901416,0.45210846992127673,0.6563099410656212,-0.14969459711264224,0.23218292971902135,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(form)[T.10-Q],-0.008057748832630504,0.008405180361504493,-0.958664595650414,0.3497688954009056,-0.025649993510899735,0.009534495845638724,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2021Q2],0.0031802656966312065,,,,,,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2021Q3],0.02314033509698017,0.006349914666730869,3.6441962312059735,0.0017257947430482589,0.00984981095607234,0.036430859237888,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2021Q4],0.014100783593572506,0.005902978587869299,2.388757367771892,0.02743873020196193,0.0017457074165048731,0.02645585977064014,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2022Q1],0.041577323965573475,0.007356043891299651,5.652131034012588,1.8930629617414e-05,0.026180947155800008,0.05697370077534694,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2022Q2],-0.005084868766284802,0.005419224153415762,-0.9383019824119632,0.35986490647552605,-0.016427435275614494,0.006257697743044891,1002,0.04049681663850446
Table 6,Pooled,proportional,True,Firm and quarter clusters,filing_return ~ Negative_proportional_z + log_pre_vol + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),C(quarter)[T.2022Q3],0.04796092285129427,0.005913043007496439,8.11103906913756,1.364842042922627e-07,0.03558478160185337,0.060337064100735166,1002,0.04049681663850446
